平均加速度 > 0.01 的文件索引列表
============================================================

总文件数: 23161
符合条件的文件数: 6154

索引       平均加速度           文件名
17901    0.057502        us-pa-pittsburgh-hazelwood_693168352db350a1.npz
14097    0.057404        us-nv-las-vegas-strip_fa5d8a25b62657c0.npz
16929    0.056981        us-pa-pittsburgh-hazelwood_4e76c15dc114549b.npz
6118     0.056820        sg-one-north_d1db8150a55c56a4.npz
10909    0.056690        us-ma-boston_ba5d20a8caab5e28.npz
15064    0.056431        us-pa-pittsburgh-hazelwood_1aaea40a7cea5270.npz
23034    0.056425        us-pa-pittsburgh-hazelwood_fc8aee86e6a35874.npz
16085    0.056416        us-pa-pittsburgh-hazelwood_37940eb1f9505e0c.npz
4295     0.056234        sg-one-north_93c5f1059d065445.npz
12771    0.055885        us-nv-las-vegas-strip_46e38b1dcc075382.npz
8154     0.055577        us-ma-boston_25959199f6ec5296.npz
1749     0.055114        sg-one-north_39e57144e97a5c9f.npz
3110     0.055067        sg-one-north_68a720efc624583d.npz
598      0.054896        sg-one-north_14cd2d6651155983.npz
17059    0.054808        us-pa-pittsburgh-hazelwood_52027368a3c155fb.npz
1583     0.054075        sg-one-north_34afa2320a8c57bd.npz
3276     0.054060        sg-one-north_6f19805a29a75701.npz
8967     0.053973        us-ma-boston_52e704423a9c53cb.npz
4835     0.053523        sg-one-north_a5dfc2cb6fb35672.npz
16612    0.053494        us-pa-pittsburgh-hazelwood_465af9f7ff3f5e66.npz
16409    0.053275        us-pa-pittsburgh-hazelwood_40bb79a240365d73.npz
16443    0.053170        us-pa-pittsburgh-hazelwood_41819a527ff15280.npz
21103    0.053128        us-pa-pittsburgh-hazelwood_c4ab872a6ab35ec3.npz
13825    0.053093        us-nv-las-vegas-strip_d473c6328ff454b5.npz
6945     0.053002        sg-one-north_ee1f09aa982b5253.npz
13222    0.052960        us-nv-las-vegas-strip_88f76bf623255b7b.npz
2355     0.052932        sg-one-north_4f48f09f1fa95faa.npz
18039    0.052826        us-pa-pittsburgh-hazelwood_6cf6588b97555fc2.npz
21143    0.052684        us-pa-pittsburgh-hazelwood_c63309cf2a0b5acb.npz
7254     0.052661        sg-one-north_f7eed6eb3d5c5d34.npz
2880     0.052651        sg-one-north_60cecbc1c9875d4d.npz
15114    0.052641        us-pa-pittsburgh-hazelwood_1bf9774de9ff5b55.npz
17307    0.052608        us-pa-pittsburgh-hazelwood_58fb2f8abfa4541b.npz
7199     0.052554        sg-one-north_f5f818673a225c72.npz
17343    0.052444        us-pa-pittsburgh-hazelwood_5a2beb12878d51b2.npz
22856    0.052216        us-pa-pittsburgh-hazelwood_f7959b7cfa815155.npz
15690    0.052127        us-pa-pittsburgh-hazelwood_2c74afd5e28950bc.npz
6242     0.052107        sg-one-north_d5cc484729e2506f.npz
19158    0.051891        us-pa-pittsburgh-hazelwood_8db4904c7bc15654.npz
15116    0.051764        us-pa-pittsburgh-hazelwood_1c0bf1197f185add.npz
8898     0.051621        us-ma-boston_4eff268af44d5803.npz
12984    0.051511        us-nv-las-vegas-strip_669c656433385997.npz
18324    0.051500        us-pa-pittsburgh-hazelwood_7673d8a2497c5e76.npz
7240     0.051356        sg-one-north_f738f53010bc5115.npz
5968     0.051120        sg-one-north_cc67aec5fec7501a.npz
13405    0.050785        us-nv-las-vegas-strip_a0e7e4aa6efe5bf3.npz
18778    0.050455        us-pa-pittsburgh-hazelwood_8385da279bea5d64.npz
11122    0.050449        us-ma-boston_c477c3979a5459b0.npz
11137    0.050428        us-ma-boston_c4f293b227f15561.npz
6728     0.050404        sg-one-north_e71259b6efbb501f.npz
6023     0.050306        sg-one-north_ce7f05e1e8a35b96.npz
14433    0.050193        us-pa-pittsburgh-hazelwood_08245095743851fa.npz
13615    0.050185        us-nv-las-vegas-strip_bb356d7c0dd7594b.npz
18833    0.049893        us-pa-pittsburgh-hazelwood_84f4cda1c1c9531b.npz
21178    0.049715        us-pa-pittsburgh-hazelwood_c75d8ac90c845adc.npz
638      0.049673        sg-one-north_1654e9755ec65af9.npz
16102    0.049629        us-pa-pittsburgh-hazelwood_37f982fb99db5943.npz
17625    0.049554        us-pa-pittsburgh-hazelwood_61c5abc32d1f5865.npz
14740    0.049468        us-pa-pittsburgh-hazelwood_118b33af6b4a5dec.npz
15870    0.049461        us-pa-pittsburgh-hazelwood_31fd890e0b4c5044.npz
9710     0.049397        us-ma-boston_7ad81615e4935dbe.npz
22291    0.049323        us-pa-pittsburgh-hazelwood_e7b5b92cb5dc5f7b.npz
2994     0.049167        sg-one-north_64c484367e8958af.npz
10473    0.049144        us-ma-boston_a3bbb1175e9057f1.npz
19391    0.049004        us-pa-pittsburgh-hazelwood_9439273ae9e75081.npz
16839    0.048962        us-pa-pittsburgh-hazelwood_4c1a949163be59d2.npz
8416     0.048927        us-ma-boston_3373a11bf57c5cc8.npz
14786    0.048860        us-pa-pittsburgh-hazelwood_12a622b0769153ae.npz
6153     0.048855        sg-one-north_d308e696d3ad50dc.npz
16616    0.048846        us-pa-pittsburgh-hazelwood_4677b19b2338513f.npz
4066     0.048703        sg-one-north_8bc39d7a726e5097.npz
3650     0.048572        sg-one-north_7d345258d9c051e5.npz
227      0.048311        sg-one-north_093ac0d896cc5d12.npz
6705     0.048254        sg-one-north_e62e0a609c395c38.npz
22632    0.048206        us-pa-pittsburgh-hazelwood_f19b24b4f8e45b2d.npz
21645    0.048180        us-pa-pittsburgh-hazelwood_d5aa6aa6b8e65d72.npz
4611     0.048115        sg-one-north_9dc38bc013405349.npz
20278    0.048023        us-pa-pittsburgh-hazelwood_ad386c93b2545b12.npz
15636    0.047786        us-pa-pittsburgh-hazelwood_2aae6ecfb7d55a39.npz
18095    0.047715        us-pa-pittsburgh-hazelwood_6e7f5b862b665d22.npz
4839     0.047642        sg-one-north_a5ed073962e256ea.npz
5797     0.047584        sg-one-north_c611595369855250.npz
14246    0.047532        us-pa-pittsburgh-hazelwood_031c03406e0557db.npz
14919    0.047520        us-pa-pittsburgh-hazelwood_1670f098a61852e9.npz
22826    0.047491        us-pa-pittsburgh-hazelwood_f6f7b1dc97dd53ac.npz
18596    0.047092        us-pa-pittsburgh-hazelwood_7e661922836e5b74.npz
15543    0.047058        us-pa-pittsburgh-hazelwood_27b1fa0b66e35d33.npz
15057    0.047051        us-pa-pittsburgh-hazelwood_1a6022ea255b5e4d.npz
19050    0.046935        us-pa-pittsburgh-hazelwood_8aae07c6fa0b54ba.npz
1397     0.046867        sg-one-north_2eaea61529595f88.npz
15285    0.046816        us-pa-pittsburgh-hazelwood_210fe9a30e425de9.npz
18699    0.046808        us-pa-pittsburgh-hazelwood_8156004e337e53ac.npz
6273     0.046795        sg-one-north_d6bb82c2fa3755bb.npz
16229    0.046765        us-pa-pittsburgh-hazelwood_3b875e6744585f39.npz
13881    0.046705        us-nv-las-vegas-strip_ddbcf9ed2e785d06.npz
20319    0.046438        us-pa-pittsburgh-hazelwood_ae6fa215f6565f9b.npz
21946    0.046377        us-pa-pittsburgh-hazelwood_dd75f565cfe95509.npz
716      0.046133        sg-one-north_18f502f8a3b65a27.npz
17847    0.046132        us-pa-pittsburgh-hazelwood_67b828096aef50ba.npz
21937    0.046102        us-pa-pittsburgh-hazelwood_dd32eadd3dfe5e5f.npz
38       0.045987        sg-one-north_01757f0c450c5660.npz
16487    0.045941        us-pa-pittsburgh-hazelwood_42edccd7ab3e5072.npz
19818    0.045888        us-pa-pittsburgh-hazelwood_a04034da306b5f78.npz
21509    0.045839        us-pa-pittsburgh-hazelwood_d176db93bab9542a.npz
19521    0.045810        us-pa-pittsburgh-hazelwood_976221098e6e546e.npz
9900     0.045737        us-ma-boston_84a3edd63e335066.npz
1587     0.045535        sg-one-north_34c8b4c849245417.npz
463      0.045464        sg-one-north_10b6199deb105929.npz
20486    0.045461        us-pa-pittsburgh-hazelwood_b2dbdd79aa425cf6.npz
14536    0.045397        us-pa-pittsburgh-hazelwood_0b081b42fe685453.npz
19508    0.045329        us-pa-pittsburgh-hazelwood_970437fd843e5c36.npz
11194    0.045309        us-ma-boston_c79e0c560f665048.npz
2290     0.045302        sg-one-north_4cc93af9ab9a511a.npz
19152    0.045267        us-pa-pittsburgh-hazelwood_8d934a1dff5156e7.npz
19394    0.044993        us-pa-pittsburgh-hazelwood_94499588d98a5c33.npz
13416    0.044970        us-nv-las-vegas-strip_a28d58deaf9e5186.npz
18830    0.044885        us-pa-pittsburgh-hazelwood_84db29074cc45ac4.npz
10433    0.044826        us-ma-boston_a121d294be21525c.npz
4551     0.044814        sg-one-north_9bd5e3c7fbe95c5d.npz
6719     0.044735        sg-one-north_e6c5ae84fceb59a4.npz
23096    0.044595        us-pa-pittsburgh-hazelwood_fe55ad1dd32151dd.npz
15250    0.044488        us-pa-pittsburgh-hazelwood_200bc593ca485506.npz
6700     0.044442        sg-one-north_e5ebfc5dc3ca5b64.npz
19636    0.044436        us-pa-pittsburgh-hazelwood_9a8b1c4bfc665b05.npz
7040     0.044365        sg-one-north_f152dfcc854e55b5.npz
15627    0.044341        us-pa-pittsburgh-hazelwood_2a643d4cda785ffd.npz
7462     0.044292        sg-one-north_ffb386cc209a5e3c.npz
2457     0.044142        sg-one-north_52d0a140a9395c26.npz
12954    0.043980        us-nv-las-vegas-strip_61578344a8b85e37.npz
457      0.043960        sg-one-north_10789d3202e15414.npz
22227    0.043943        us-pa-pittsburgh-hazelwood_e619fb8e9ac35b45.npz
8146     0.043856        us-ma-boston_252d1ab3f3a557dc.npz
6782     0.043833        sg-one-north_e8ddefb74ced57a1.npz
3280     0.043707        sg-one-north_6f4193d604a45a33.npz
21599    0.043573        us-pa-pittsburgh-hazelwood_d46b963801095030.npz
2932     0.043513        sg-one-north_62b80c4a36845a84.npz
9219     0.043320        us-ma-boston_611693523108526a.npz
5370     0.043121        sg-one-north_b8b380ccaf375f0e.npz
20105    0.043107        us-pa-pittsburgh-hazelwood_a8101ff7547e5eb5.npz
2596     0.043065        sg-one-north_57618072846852c9.npz
4861     0.043013        sg-one-north_a6d71093c68a566a.npz
7737     0.042979        us-ma-boston_0fc76358c5815088.npz
9385     0.042863        us-ma-boston_6a111855b6ec551f.npz
17885    0.042850        us-pa-pittsburgh-hazelwood_68d6a805475e5a2a.npz
5216     0.042792        sg-one-north_b3ccaba4cc745dfb.npz
7801     0.042766        us-ma-boston_14107781ba015b74.npz
18297    0.042705        us-pa-pittsburgh-hazelwood_759f7ad1e27652fb.npz
5548     0.042673        sg-one-north_bef1a8739eb15139.npz
20685    0.042491        us-pa-pittsburgh-hazelwood_b861b15bbeb45f99.npz
6744     0.042413        sg-one-north_e77030b6404b5e02.npz
20127    0.042395        us-pa-pittsburgh-hazelwood_a8d8e544298f5d90.npz
16104    0.042258        us-pa-pittsburgh-hazelwood_38047517f76e5d12.npz
22172    0.042245        us-pa-pittsburgh-hazelwood_e45ab82ddd045875.npz
20957    0.042195        us-pa-pittsburgh-hazelwood_bfb9475368d75efc.npz
633      0.042181        sg-one-north_160886691fd05559.npz
7728     0.042058        us-ma-boston_0f386f4d3dc75c0d.npz
17821    0.042041        us-pa-pittsburgh-hazelwood_67066237b9c15ec4.npz
17887    0.042037        us-pa-pittsburgh-hazelwood_68dd451249655ebd.npz
11844    0.041959        us-ma-boston_eb2a8f913d0556c0.npz
13963    0.041941        us-nv-las-vegas-strip_eae701e7fb825972.npz
6279     0.041904        sg-one-north_d72d36a94c4859f2.npz
18554    0.041862        us-pa-pittsburgh-hazelwood_7d26317a174556b5.npz
15667    0.041830        us-pa-pittsburgh-hazelwood_2bda239a518e53b6.npz
12838    0.041811        us-nv-las-vegas-strip_4f5c2a311df658db.npz
13214    0.041766        us-nv-las-vegas-strip_8838c013cfcd5671.npz
6795     0.041765        sg-one-north_e967485fd49951e4.npz
17819    0.041756        us-pa-pittsburgh-hazelwood_66fd94f47202598f.npz
19405    0.041613        us-pa-pittsburgh-hazelwood_947db358ab1953d5.npz
20003    0.041589        us-pa-pittsburgh-hazelwood_a4ec50caf5585848.npz
5633     0.041565        sg-one-north_c132e81d287b53fb.npz
10375    0.041562        us-ma-boston_9e48c354cf9c5a42.npz
5472     0.041512        sg-one-north_bc2be1e3b572511b.npz
991      0.041493        sg-one-north_2135a6a261bc5b29.npz
6249     0.041396        sg-one-north_d618e1cad8ff5845.npz
12139    0.041369        us-ma-boston_faaf6de89741594a.npz
21146    0.041087        us-pa-pittsburgh-hazelwood_c66337aa286c5b0c.npz
22087    0.041066        us-pa-pittsburgh-hazelwood_e230ac8619ee5169.npz
22026    0.041013        us-pa-pittsburgh-hazelwood_e053cf67179c5070.npz
1683     0.040956        sg-one-north_381ae11fd55357e9.npz
6406     0.040949        sg-one-north_dbbe007dc9625177.npz
14521    0.040948        us-pa-pittsburgh-hazelwood_0a87e1458d225e2f.npz
18671    0.040929        us-pa-pittsburgh-hazelwood_809b4f7e213e5e0e.npz
2154     0.040916        sg-one-north_4804834287c253c7.npz
18528    0.040896        us-pa-pittsburgh-hazelwood_7ca859a89d8d5c8b.npz
15209    0.040812        us-pa-pittsburgh-hazelwood_1eb77b3aec085472.npz
1175     0.040703        sg-one-north_2739b4b9047d5133.npz
11241    0.040697        us-ma-boston_ca03f4e65d7a589a.npz
10762    0.040685        us-ma-boston_b2d0897ae350525b.npz
329      0.040664        sg-one-north_0c8e39438e91569b.npz
8206     0.040664        us-ma-boston_28d4185007b65af4.npz
15240    0.040592        us-pa-pittsburgh-hazelwood_1fb51819f79f50d3.npz
5573     0.040520        sg-one-north_bfbe27138ed25d40.npz
15529    0.040507        us-pa-pittsburgh-hazelwood_27302ea380915474.npz
73       0.040501        sg-one-north_02ed03ea47bd5f5b.npz
20890    0.040476        us-pa-pittsburgh-hazelwood_be07274c7d44537b.npz
12254    0.040465        us-nv-las-vegas-strip_01dfc7b0e506561d.npz
4783     0.040427        sg-one-north_a3ddae4d8dd25474.npz
7624     0.040295        us-ma-boston_08fffcf333ec5652.npz
1079     0.040086        sg-one-north_2450e9acde405724.npz
14912    0.040069        us-pa-pittsburgh-hazelwood_160ae6cec0245ba7.npz
23071    0.039870        us-pa-pittsburgh-hazelwood_fdc87c12b8e357c9.npz
19856    0.039838        us-pa-pittsburgh-hazelwood_a120856262fc5077.npz
4514     0.039798        sg-one-north_9ab969ec6a38562c.npz
6513     0.039699        sg-one-north_df9d1af8a33558de.npz
12470    0.039698        us-nv-las-vegas-strip_1f8f59e836f85290.npz
17978    0.039672        us-pa-pittsburgh-hazelwood_6b351b9296a35500.npz
14535    0.039635        us-pa-pittsburgh-hazelwood_0b058c6b823b5da0.npz
17249    0.039624        us-pa-pittsburgh-hazelwood_5755799b77d55883.npz
20291    0.039617        us-pa-pittsburgh-hazelwood_ad9be6e05fc959d7.npz
13771    0.039603        us-nv-las-vegas-strip_cdcfd291fdeb55bd.npz
6595     0.039578        sg-one-north_e244cb51ebde587c.npz
14839    0.039539        us-pa-pittsburgh-hazelwood_141e3ba0d8875f5c.npz
15547    0.039536        us-pa-pittsburgh-hazelwood_27c3abb4789c5b1b.npz
16676    0.039445        us-pa-pittsburgh-hazelwood_47fe1bc060ca50aa.npz
7980     0.039395        us-ma-boston_1d54526be5375a64.npz
492      0.039317        sg-one-north_119c4347f7315ef2.npz
7112     0.039299        sg-one-north_f37422bbf16e51ae.npz
18724    0.039233        us-pa-pittsburgh-hazelwood_81f720ab18f25785.npz
21215    0.039227        us-pa-pittsburgh-hazelwood_c853b6a950d953da.npz
21264    0.039100        us-pa-pittsburgh-hazelwood_c9da3c38b0b85628.npz
1764     0.039076        sg-one-north_3a660b0b6b375d84.npz
5232     0.039031        sg-one-north_b45558409fe6509e.npz
17586    0.038968        us-pa-pittsburgh-hazelwood_60b1d86617175ea3.npz
17990    0.038931        us-pa-pittsburgh-hazelwood_6ba229accfa959b3.npz
18713    0.038805        us-pa-pittsburgh-hazelwood_81c25a7120945b0c.npz
17129    0.038799        us-pa-pittsburgh-hazelwood_54167c983ea45d4d.npz
12277    0.038746        us-nv-las-vegas-strip_04dcf0d757165e91.npz
11617    0.038636        us-ma-boston_deea05e0c2cf5897.npz
7421     0.038568        sg-one-north_fde276d4fdcf5502.npz
13284    0.038530        us-nv-las-vegas-strip_90b4b83660bf5f48.npz
16798    0.038529        us-pa-pittsburgh-hazelwood_4adddcfcd2825bd9.npz
2173     0.038478        sg-one-north_487a9eae48b95e50.npz
6467     0.038413        sg-one-north_de04f297c9735f74.npz
23025    0.038407        us-pa-pittsburgh-hazelwood_fc5e232d2c9459a2.npz
16989    0.038348        us-pa-pittsburgh-hazelwood_501f3c74e3ce5c95.npz
7437     0.038326        sg-one-north_fe678fd74e2151b3.npz
13367    0.038314        us-nv-las-vegas-strip_9c6eecfcaf82546b.npz
14726    0.038166        us-pa-pittsburgh-hazelwood_10e384aee6295d72.npz
13200    0.038156        us-nv-las-vegas-strip_8582d2a56f575f40.npz
12995    0.038118        us-nv-las-vegas-strip_6932f17428b25e79.npz
17633    0.037993        us-pa-pittsburgh-hazelwood_61e71bb159c555a7.npz
22673    0.037989        us-pa-pittsburgh-hazelwood_f2fc15f7744c5466.npz
7371     0.037984        sg-one-north_fbda3699884756ff.npz
1812     0.037961        sg-one-north_3bf6482fdfb25694.npz
16697    0.037929        us-pa-pittsburgh-hazelwood_487513cd4c495d74.npz
19196    0.037880        us-pa-pittsburgh-hazelwood_8f1ab8d0836957ad.npz
20925    0.037842        us-pa-pittsburgh-hazelwood_bf06e1fb9dbf5c66.npz
4345     0.037749        sg-one-north_9544633a6a715552.npz
215      0.037674        sg-one-north_08ced9a71e8c5b83.npz
21804    0.037673        us-pa-pittsburgh-hazelwood_d9bc179c52c952fe.npz
16272    0.037649        us-pa-pittsburgh-hazelwood_3d303270fe485fa8.npz
3697     0.037541        sg-one-north_7e83b487f7e25838.npz
15410    0.037541        us-pa-pittsburgh-hazelwood_24165c78a60358a1.npz
5626     0.037530        sg-one-north_c0efa100ac6c5416.npz
256      0.037509        sg-one-north_0a4bd9b6a96e5cac.npz
15757    0.037499        us-pa-pittsburgh-hazelwood_2eb7d70a59e25fca.npz
11950    0.037436        us-ma-boston_f075133be02c5a93.npz
144      0.037410        sg-one-north_05ecef92a8dc50a0.npz
20032    0.037343        us-pa-pittsburgh-hazelwood_a5b1e74b48835694.npz
2021     0.037324        sg-one-north_43bc21bceeee5872.npz
5013     0.037318        sg-one-north_aca985dbb37e595d.npz
10744    0.037286        us-ma-boston_b1a6c4f4dc08549e.npz
14969    0.037272        us-pa-pittsburgh-hazelwood_17f3a6bd6e225b00.npz
5473     0.037253        sg-one-north_bc300af91437595a.npz
14825    0.037241        us-pa-pittsburgh-hazelwood_13adf9c4db0053be.npz
4432     0.037194        sg-one-north_97f4fd91ab1959c4.npz
18215    0.037087        us-pa-pittsburgh-hazelwood_72faa8c7f3935cb3.npz
19631    0.037057        us-pa-pittsburgh-hazelwood_9a70738580215c81.npz
10244    0.037040        us-ma-boston_9765fef5de755bb2.npz
8820     0.037025        us-ma-boston_4bd53f1840e2515b.npz
20805    0.037005        us-pa-pittsburgh-hazelwood_bbcefeade94a52eb.npz
14149    0.037005        us-pa-pittsburgh-hazelwood_0073cde2c626501b.npz
508      0.036923        sg-one-north_122a733104745300.npz
22575    0.036915        us-pa-pittsburgh-hazelwood_f03069de590f54cc.npz
1595     0.036823        sg-one-north_35422ff7567756a3.npz
14759    0.036777        us-pa-pittsburgh-hazelwood_11de42d96d275f00.npz
7725     0.036776        us-ma-boston_0ef877e8f2435272.npz
18078    0.036774        us-pa-pittsburgh-hazelwood_6e05773271ca51f1.npz
4434     0.036716        sg-one-north_97ffd407b12d5566.npz
19619    0.036676        us-pa-pittsburgh-hazelwood_9a126320f86b5f82.npz
9301     0.036665        us-ma-boston_65aabd70634a540d.npz
16393    0.036661        us-pa-pittsburgh-hazelwood_4061cfb94ac15e72.npz
22984    0.036647        us-pa-pittsburgh-hazelwood_fb2cd1d5462c53cc.npz
19722    0.036632        us-pa-pittsburgh-hazelwood_9d253c90df3c527c.npz
18317    0.036585        us-pa-pittsburgh-hazelwood_7648f10be3b755ae.npz
18808    0.036579        us-pa-pittsburgh-hazelwood_8447ee350e265376.npz
21398    0.036565        us-pa-pittsburgh-hazelwood_cdfce54ba39e5904.npz
20055    0.036505        us-pa-pittsburgh-hazelwood_a647cfcf3b795d95.npz
10926    0.036470        us-ma-boston_bb62cafdb3c458db.npz
18105    0.036425        us-pa-pittsburgh-hazelwood_6ea9a260e8625c2c.npz
18072    0.036419        us-pa-pittsburgh-hazelwood_6deb742995cc5058.npz
667      0.036403        sg-one-north_172d78c04a5e5f6e.npz
11065    0.036311        us-ma-boston_c183f02f532b5208.npz
15176    0.036251        us-pa-pittsburgh-hazelwood_1da37dcf2f7a54dd.npz
11316    0.036228        us-ma-boston_cee7c18bbf9d522e.npz
19965    0.036220        us-pa-pittsburgh-hazelwood_a3f3e513c5b558ee.npz
6132     0.036218        sg-one-north_d244d54b3b515a86.npz
22453    0.036181        us-pa-pittsburgh-hazelwood_ecc4a5acdc7057c2.npz
8217     0.036160        us-ma-boston_29ab2d15a9c05071.npz
13795    0.036150        us-nv-las-vegas-strip_d0abd186cbbb5f15.npz
19190    0.036095        us-pa-pittsburgh-hazelwood_8ed48a5b11a45c8c.npz
12572    0.036076        us-nv-las-vegas-strip_2c401c03a7b95be9.npz
4117     0.036072        sg-one-north_8d38e56585a4587d.npz
14035    0.036067        us-nv-las-vegas-strip_f3b29f6df4595bc8.npz
10348    0.036027        us-ma-boston_9c648f3bfdc850f3.npz
22050    0.036009        us-pa-pittsburgh-hazelwood_e0e2267517a05d0e.npz
6662     0.035949        sg-one-north_e442f19c261a511c.npz
17277    0.035945        us-pa-pittsburgh-hazelwood_57fec044e4ba5228.npz
4846     0.035919        sg-one-north_a641816b281654d7.npz
17942    0.035910        us-pa-pittsburgh-hazelwood_6a580f8ece0054c7.npz
23123    0.035892        us-pa-pittsburgh-hazelwood_feef38c70dc45fde.npz
2383     0.035866        sg-one-north_5036b38047b2554b.npz
16113    0.035826        us-pa-pittsburgh-hazelwood_38435f4e37645206.npz
1457     0.035807        sg-one-north_30ddc43842db50f6.npz
14089    0.035775        us-nv-las-vegas-strip_f98c02e51f605f2f.npz
22233    0.035727        us-pa-pittsburgh-hazelwood_e6423ac9574051ab.npz
10199    0.035721        us-ma-boston_94a9efd09ae35d3d.npz
17054    0.035582        us-pa-pittsburgh-hazelwood_51f30bf97dd35d4b.npz
15754    0.035578        us-pa-pittsburgh-hazelwood_2ea826f55b285caf.npz
18563    0.035529        us-pa-pittsburgh-hazelwood_7d745eb3dba358ac.npz
5408     0.035448        sg-one-north_b9e92953f76e565e.npz
1344     0.035441        sg-one-north_2d0fe1dd01845fef.npz
1828     0.035407        sg-one-north_3ca37ab8cfc45146.npz
20415    0.035377        us-pa-pittsburgh-hazelwood_b0e669d9c55c508d.npz
7789     0.035320        us-ma-boston_139cb5bc77c35df6.npz
17511    0.035317        us-pa-pittsburgh-hazelwood_5ea25928a4935148.npz
10151    0.035315        us-ma-boston_9211681032a256a0.npz
3038     0.035295        sg-one-north_6629ae3dfafb5884.npz
16185    0.035254        us-pa-pittsburgh-hazelwood_3a4490ad4e735d7d.npz
14566    0.035235        us-pa-pittsburgh-hazelwood_0bded68f48d6574e.npz
21003    0.035234        us-pa-pittsburgh-hazelwood_c146a31cc5f15fc5.npz
10582    0.035225        us-ma-boston_a9599a8137915c8d.npz
22186    0.035092        us-pa-pittsburgh-hazelwood_e4ce90de59ee580a.npz
19118    0.035074        us-pa-pittsburgh-hazelwood_8c5097cddd8e5108.npz
8635     0.035027        us-ma-boston_404c0acd4ada58b3.npz
14304    0.034979        us-pa-pittsburgh-hazelwood_04884d9e73a05d84.npz
